#a,b,c,d,COFUNCION,CODECOPART,g,Descripción,Inicial,j,Modificación,Actual,O
,,,,2313,62500,,EQUIPAMIENTO C.E.D DE MAYORES,1500,,179,1679,179
,,,,2314,21200,,MANTENIMIENTO CENTRO DE MAYORES,1500,,51.55,1551.55,119.52
,,,,2314,22000,,MATERIAL OFICINA CENTRO DE MAYORES,400,,0,400,27.06
,,,,2314,22001,,PRENSA Y REVISTA CENTRO MAYORES,900,,235.76,1135.76,1259.71
,,,,2314,22105,,GASTRONOMIA CENTRO DE MAYORES,4733.84,,0,4733.84,762.3
,,,,2314,22601,,TROFEOS Y OBSEQUIOS CENTRO DE MAYORES,900,,0,900,0
,,,,2314,22606,,TALLER ESTIMULACION COGNITIVA PsPs Nº 7,1200,,0,1200,0
,,,,2314,22698,,ACTUACIONES Y ACTIVIDADES CENTRO DE MAYORES,3000,,763,3763,1628.15
,,,,2314,22699,,GTOS. DIVERSOS CENTRO MAYORES,500,,2057,2557,2112.75
,,,,2314,22700,,LIMPIEZA EDIFICIO PERSONAS MAYORES,32205,,0,32205,5800.77
,,,,2314,22701,,ORGANIZ. CENTRO MAYORES - CONSERJE,15000,,1210,16210,10890
,,,,2314,22799,,TALLERES CONCEJALIA MAYORES,6000,,1076.9,7076.9,7538.3
,,,,2314,24000,,"EDICION DE FOLLETOS, CARTELES Y OTROS MAYORES",300,,78.65,378.65,78.65
,,,,2314,48000,,PREMIOS CONCURSOS CENTRO DE MAYORES,600,,0,600,0
,,,,2314,62500,,EQUIPAMIENTO CENTRO DE MAYORES,1000,,0,1000,0
,,,,2315,21200,,MANTENIMIENTO CENTRO ATT. PSICOSOCIAL,100,,0,100,0
,,,,2315,22606,,TALLERES OCUPAC. CENTRO ATT. PSICOSOCIAL,1200,,0,1200,0
,,,,2315,22699,,GASTOS DIVERSOS CENTRO ATT. PSICOSOCIAL,400,,0,400,0
,,,,2315,22799,,CTO. SERV. CENTRO ATENCION PSICOSOCIAL,103313.38,,0,103313.38,66058.83
,,,,2315,62500,,EQUIPAMIENTO CENTRO ATT. PSICOSOCIAL,1500,,0,1500,0
,,,,2316,22601,,OBSEQUIOS Y OTROS CONCEJALIA IGUALDAD,1000,,0,1000,379.6
,,,,2316,22698,,DIAS INTERNAC. DE LA MUJER Y CONTRA VIOLENC. GENER,3500,,-700,2800,2894.99
,,,,2316,48001,,PREMIOS DIA INTERNAC. DE LA MUJER,500,,700,1200,581.5
,,,,2411,12001,,RETRIB. BASICAS EMPLEO-A2,55803.3,,0,55803.3,44715.11
,,,,2411,12004,,RETRIB. BASICAS EMPLEO-C2,11318.14,,0,11318.14,9072.93
,,,,2411,12100,,COMPLEMENTO DESTINO EMPLEO,38926.44,,0,38926.44,24614.83
,,,,2411,12101,,COMPL. ESPECIFICO EMPLEO,42990.36,,0,42990.36,27206.72
,,,,2411,13100,,RETRIBUCIONES CONSEJOS COMARCALES 2022-2023,0,,158169.8,158169.8,0
,,,,2411,14300,,RETRIB. FUNCIONARIOS INTERINOS EMPLEO,18107.88,,0,18107.88,10577.95
,,,,2411,15000,,PRODUCTIVIDAD FUNCIONARIOS EMPLEO,6267.98,,0,6267.98,5373.29
,,,,2411,16000,,SEGURIDAD SOCIAL FUNCIONARIOS EMPLEO,46099.62,,0,46099.62,31036.72
,,,,2411,16001,,SEGURIDAD SOCIAL PERSONAL LABORAL EMPLEO,0,,0,0,3480.3
,,,,2411,16002,,SEGURIDAD SOCIAL CONSEJOS COMARCALES 2022-2023,0,,50129.69,50129.69,0
,,,,2411,21200,,MANTENIMIENTO CENTRO LOCAL DE EMPLEO,0,,363,363,396.53
,,,,2411,22000,,MATERIAL DE OFICINA EMPLEO,950,,0,950,0
,,,,2411,22100,,ENERGIA ELECTRICA EDIFICIOS EMPLEO,4550,,500,5050,3667.11
,,,,2411,22601,,ATENCIONES PROTOCOLARIAS CONCEJALIA EMPLEO,150,,0,150,85.5
,,,,2411,22606,,ACCIONES FORMATIVAS COLABOR. CON S.E.F.,3000,,-500,2500,456
,,,,2411,22609,,GASTOS DIVERSOS AGUAS MINEROM. Y BALNEARIO,900,,0,900,0
,,,,2411,22699,,GTOS. CORRIENTES EMPLEO,900,,-860,40,0
,,,,2411,22700,,LIMPIEZA EDIFICIOS EMPLEO,15699.94,,0,15699.94,7343.91
,,,,2411,48000,,CUOTA SECCION VILLAS TERMALES,1000,,0,1000,1000
,,,,2411,48001,,"CUOTA PARTICIPACION ""ASOC. INTEGRAL""",12285.66,,0,12285.66,12285.66
,,,,2411,62500,,EQUIPAMIENTO EMPLEO,1000,,860,1860,1850.01
,,,,2412,13100,,PERSONAL LABORAL TEMPORAL IGUALDAD,37257.56,,0,37257.56,25575.33
,,,,2412,13101,,PERSONAL LAB. TEMP. CAVI-SUBVENCIONADO,13169.57,,0,13169.57,35760.6
,,,,2412,13102,,RETRIBUC. PERSONAL SUBVENCIONADO CAVI,0,,0,0,1482.65
,,,,2412,14300,,FUNCIONARIOS INTERINOS CAVI,97867.38,,0,97867.38,11566.64
,,,,2412,15000,,PRODUCTIVIDAD FUNCIONARIOS IGUALDAD,3670.03,,0,3670.03,0
,,,,2412,15001,,PRODUCTIVIDAD LABORALES IGUALDAD,1022.44,,0,1022.44,4517.32
,,,,2412,16001,,SEG. SOCIAL PERSONAL LABORAL IGUALDAD,12145.96,,0,12145.96,2947.2
,,,,2412,16002,,S.S. FUNC. INTERINOS CAVI-SUBVENCIONADO 2021-2022,30681.42,,0,30681.42,0
,,,,2412,16003,,SEG. SOCIAL LAB. TEMP. CAVI-SUBVENCIONADO,4313.03,,0,4313.03,12105.49
,,,,2412,21200,,MANTENIMIENTO EDIFICIO VIVERO DE EMPRESAS,200,,235.95,435.95,313.14
,,,,2412,22000,,MATERIAL DE OFICINA IGUALDAD,400,,0,400,48.88
,,,,2412,22100,,ENERGIA ELECTRICA EDIFICIOS IGUALDAD,6110,,1500,7610,6227.88
,,,,2412,22602,,PUBLICIDAD Y PROPAGANDA CONCEJ. IGUALDAD,300,,0,300,314.6
,,,,2412,22606,,CURSOS DE FORMACION IGUALDAD,3000,,-1500,1500,0
,,,,2412,22694,,PACTO DE ESTADO CONTRA VIOLENCIA DE GENERO 22-23,0,,14949.99,14949.99,0
,,,,2412,22695,,PACTO ESTADO CONTRA VIOLENCIA DE GENERO 21-22,0,,0,0,1486.83
,,,,2412,22696,,"PROY. ""WALKIRIA"" MUEJERES EN SIT. VULNERABLE",2700,,0,2700,0
,,,,2412,22699,,GTOS. CORRIENTES IGUALDAD Y CAVI,500,,0,500,64.99
,,,,2412,22700,,LIMPIEZA EDIFICIO CAVI,15699.94,,0,15699.94,10825.83
,,,,2412,22706,,ELABORAC. Y PUESTA EN MARCHA PLAN IGUALDAD,3900,,0,3900,0
,,,,2412,22799,,PLAN CORRESPONSABLES 2022- PLANES DE FORMACION IGUALDAD,0,,0,0,0
,,,,2412,24000,,EDICIONES Y PUBLICACIONES CONCEJ. IGUALDAD,500,,0,500,0
,,,,2412,62500,,EQUIPAMIENTO VIVERO DE EMPRESAS IGUALDAD,1000,,0,1000,0
,,,,311,21300,,MANTENIMIENTO EQUIPOS DE SANIDAD,2954.74,,10254.33,13209.07,5427.84
,,,,311,22106,,"MATERIAL SANITARIO FRENTE A ""COVID-19""",0,,0,0,1329.3
,,,,311,22300,,SERVICIO DE TRANSPORTE A LA ARRIXACA,0,,-60000,-60000,0
,,,,311,22601,,ATENCIONES PROTOCOLARIAS SANIDAD,0,,3231.49,3231.49,1536.02
,,,,311,22602,,CAMPAÑAS INFORMATIVAS BIENESTAR ANIMAL,1000,,0,1000,0
,,,,311,22606,,JORNADA COMER SANO EN LA COSTERA PsPs Nº 8,800,,-800,0,0
,,,,311,22609,,TALLERES Y CHARLAS DIVULGATIVAS SANIDAD,400,,-900,-500,0
,,,,311,22699,,CONSEJO MUNICIPAL SALUD - ACTIV. DIVULGATIVAS,400,,0,400,1125.3
,,,,311,22700,,LIMPIEZA EDIFICIOS SANIDAD,0,,5000,5000,5635.62
,,,,311,22701,,"DESRATIZACION, DESINFECTACION Y DESINFECC. DDD",17500,,1385.45,18885.45,12469.05
,,,,311,22794,,LIMPIEZA Y DESINFECCION EN ESPACIOS MUNICIPALES COVID-19,0,,20000,20000,15250.47
,,,,311,22795,,CONTROL DE LA AVIFAUNA,1500,,-1400,100,0
,,,,311,22796,,RECOGIDA Y CONTROL DE ANIMALES DE LA VIA PUBLICA,84960.15,,39078.31,124038.46,88702.82
,,,,311,22797,,"CAPTURA, ESTERILIZAC. Y SUELTA DE GATOS",18000,,15453.51,33453.51,7891.01
,,,,311,22798,,MTO. Y ACTUALIZAC. MICROCHIPS COLEG. VETERINARIOS,800,,0,800,871.02
,,,,311,24000,,EDICION DE CARTELES Y FOLLETOS SANIDAD,0,,0,0,0
,,,,311,45000,,CONVENIO CARM TRANSPORTE ARRIXACA,79431,,0,79431,0
,,,,311,45060,,CONVENIO CARM - TRANSPORTE ARRIXA,0,,79431,79431,79431
,,,,311,48000,,CONVENIO GESTIÓN AMBULANCIA CRUZ ROJA,50000,,0,50000,0
,,,,311,62500,,CALEFACTORES CENTROS VACUNACION,0,,100,100,0
,,,,311,62900,,INVERSIONES AREA DE SANIDAD,0,,1560.9,1560.9,1560.9
,,,,320,12004,,RETRIBUCIONES BASICAS EDUCACION-C2,6020.76,,-6000,20.76,0
,,,,320,12005,,RETRIB. BASICAS EDUCACION-E,65868.94,,0,65868.94,60331.47
,,,,320,12100,,COMPLEMENTO DESTINO EDUCACION,33388.6,,0,33388.6,23982.08
,,,,320,12101,,COMPLEMENTO ESPECIFICO EDUCACION,66644.78,,0,66644.78,45231.15
,,,,320,15000,,PRODUCTIVIDAD FUNCIONARIOS EDUCACION,6348.12,,0,6348.12,7814.28
,,,,320,16000,,SEGURIDAD SOCIAL FUNCIONARIOS EDUCACION,46219.04,,0,46219.04,41142.02
,,,,320,21200,,MANTENIMIENTO COLEGIOS,9000,,1232.58,10232.58,18011.77
,,,,320,21300,,"MANTENIMIENTO MAQUINARIA, INSTALACIONES EDUCACION",0,,0,0,1298.04
,,,,320,22100,,ENERGIA ELECTRICA EDIFICIOS EDUCACION,110500,,15000,125500,100391.75
,,,,320,22700,,LIMPIEZA EDIFICIOS EDUCACION,438095.35,,0,438095.35,319685.13
,,,,320,63200,,OBRAS Y EQUIPAMIENTOS EN COLEGIOS,10000,,-732.89,9267.11,1150.01
,,,,323,22103,,COMBUSTIBLE CALEFACCION CENTROS EDUCATIVOS,42271.45,,6000,48271.45,41761.35
,,,,323,22706,,ESTUDIOS Y TRABAJOS TECNICOS EDUCACION,0,,9075,9075,9075
,,,,323,22796,,GESTION ESCUELA INFANTIL GLORIA FUERTES,270000,,0,270000,179796.8
,,,,323,22798,,GESTION C.A.I. LOS CEREZOS,123475.19,,0,123475.19,95815.68
,,,,323,22799,,SERV. EDUCATIVO ESCUELA INFANTIL INTEGRADA GLORIAFUERTES-LOS CEREZOS,0,,0,0,0
,,,,323,45390,,SEDE PERMANENTE UNIVERSIDAD DE MURCIA,2000,,0,2000,0
,,,,325,22799,,MEDIDAS ALTERNATIVAS A EXPULSION DE ALUMNOS PMAE + PROGR. CREE EN TI,66690,,0,66690,47241.79
,,,,326,22001,,BANCO DE LIBROS,2000,,32.41,2032.41,61.65
,,,,326,22300,,TRANSPORTE ACTIV. EXTRAESCOLARES,3000,,99,3099,6382.5
,,,,326,22601,,ATENC. PROTOCOLARIAS Y OBSEQUIOS EDUCACION,500,,0,500,300.36
,,,,326,22602,,PUBLICACION Y DIFUSION ACTIVIDADES EDUCACION,1500,,0,1500,1452
,,,,326,22606,,TALLERES EDUCACION SIGLO XXI,1000,,0,1000,791.95
,,,,326,22699,,"GASTOS DE FUNCIONAMIENTO, EVENTOS Y OTR. EDUCACION",2500,,0,2500,423.5
,,,,326,22793,,PLAN CORRESPONSABLES 2022- AUDITORIA EXTERNA,0,,0,0,0
,,,,326,22794,,TALLERES PREVENC. DROGAS Y EDUCAC. SALUD,9936,,0,9936,9936
,,,,326,22795,,"PLAN CORRESPONSABLES 2022- GESTION, SUPERVISION Y DIFUSION",0,,0,0,0
,,,,326,22796,,PROGR. COORDINACION FAMILIAS NIÑOS CON NEAE,9000,,4000,13000,5025
,,,,326,22797,,PLAN CORRESPONSABLES 2022- SERV. PROXIMIDAD MATUTINO,0,,0,0,0
,,,,326,22798,,SONIDO E ILUMINACION EVENTOS EDUCACION,0,,0,0,0
,,,,326,22799,,SERVICIO DE PROXIMIDAD MATUTINO,50597.8,,0,50597.8,15280.98
,,,,326,24000,,GASTOS DE EDICION Y DISTRIBUCION,1500,,0,1500,0
,,,,326,45000,,CONVENIO ESCUELA OFICIAL DE IDIOMAS,4700,,0,4700,0
,,,,326,48001,,ASOCIACION INTERNAC. DE CIUDADES EDUCADORAS,220,,0,220,220
,,,,326,48002,,AYUDAS A TRANSPORTE EDUCATIVO (BUS UNIVERSITY),6000,,0,6000,0
,,,,326,48003,,AMPA CEIP GINES DIAZ-SAN CRISTOBAL,1,,2024.25,2025.25,0
,,,,326,48004,,AMPA CEIP SIERRA ESPUÑA,1,,1369,1370,0
,,,,326,48005,,AMPA CEIP ANTONIO MACHADO,1,,699,700,0
,,,,326,48006,,AMPA CEIP PRINCIPE DE ESPAÑA,1,,699,700,0
,,,,326,48007,,AMPA CEIP NUESTRA SRA. DEL ROSARIO,1,,699,700,0
,,,,326,48008,,AMPA CEIP RICARDO CODORNIU,1,,1648.6,1649.6,0
,,,,326,48010,,"CONCURSO INFANTIL DE CUENTOS ""JOSE CALERO""",1500,,0,1500,863.16
,,,,326,48011,,"BECAS ""ERASMUS"" E ""ILA""",7000,,0,7000,5900
,,,,326,48015,,PREMIOS A LA CULTURA DEL ESFUERZO,3700,,0,3700,430
,,,,326,48016,,SUBVENCIONES A PROYECTOS EN CENTROS EDUCATIV.,11000,,0,11000,0
,,,,326,62210,,NUEVA PISTA COLEGIO GINES DIAZ SAN CRISTOBAL,0,,180174.15,180174.15,108379.09
,,,,326,62211,,ACONDICIONAMIENTO E.I. LOS SECANOS,0,,98000,98000,58929.01
,,,,326,62915,,COMEDOR CEIP PRINCIPE DE ESPAÑA Y OTRAS INV. EDUCACION,0,,35000,35000,11433.29
,,,,327,22606,,"ESCUELA DE VERANO ""EDUCAVERANO 2019""",42094.74,,0,42094.74,42086.99
,,,,327,22609,,REFUERZO EDUCATIVO,7420,,0,7420,5915
,,,,327,22794,,"SERV. DE TRADUCCION, MEDIACION, ASESORAM. INTERCUL",31338.07,,0,31338.07,23503.5
,,,,327,22795,,"ACTIVIDADES DE OCIO Y T. LIBRE ""UN RATITO MAS""",81067.2,,-5717,75350.2,55695.5
,,,,327,22796,,PLAN CORRESPONSABLES 2022- REFUERZO EDUCATIVO INSTITUTOS,0,,0,0,0
,,,,327,22799,,PLAN CORRESPONSABLES 2022- ESCUELA MPAL. DE VERANO,0,,0,0,0
,,,,330,12001,,RETRIB. BASICAS CULTURA-A2,40341.76,,-15000,25341.76,16212.89
,,,,330,12003,,RETRIB. BASICAS CULTURA-C1,26928.56,,-22000,4928.56,4177.29
,,,,330,12004,,RETRIB. BASICAS CULTURA-C2,24036.38,,0,24036.38,18858.31
,,,,330,12100,,COMPLEM. DESTINO CULTURA,47096.39,,-21000,26096.39,16042.58
,,,,330,12101,,COMPLEMENTO ESPECIFICO CULTURA,54893.72,,-25000,29893.72,18929.69
,,,,330,13100,,PERSONAL LABORAL TEMPORAL CULTURA,0,,0,0,7051.23
,,,,330,14300,,OTRO PERSONAL FUNCIONARIO INTERINO,18107.88,,0,18107.88,28787.83
,,,,330,15000,,PRODUCTIVIDAD FUNCIONARIOS CULTURA,7855.53,,0,7855.53,5738.41
,,,,330,16000,,SEGURIDAD SOCIAL FUNCIONARIOS  CULTURA,55463.97,,-42500,12963.97,10640.27
,,,,330,16001,,SEGURIDAD SOCIAL PERS. LABORAL CULTURA,0,,0,0,11978.99
,,,,330,20200,,ARRENDAMIENTO CINE VELASCO,34000,,95.57,34095.57,24435.88
,,,,330,20900,,SGAE CULTURA,0,,0,0,143.2
,,,,330,21200,,MANTENIMIENTO EDIFICIOS CULTURA,0,,562.65,562.65,2648.26
,,,,330,22000,,MATERIAL OFICINA CULTURA,400,,0,400,283.44
,,,,330,22100,,ENERGIA ELECTRICA EDIFICIOS CULTURA,39000,,6000,45000,34235.64
,,,,330,22699,,GASTOS FUNCIONAMIENTO CULTURA,1200,,178.61,1378.61,2049.52
,,,,330,22700,,LIMPIEZA EDIFICIOS CULTURA,89079.03,,0,89079.03,61795.62
,,,,330,22701,,VIGILANCIA Y SEGURIDAD EXPOSICIONES CULTURA,500,,0,500,0
,,,,330,22706,,REACCION PROYECTOS DE CULTURA,0,,0,0,0
,,,,330,62500,,EQUIPAMIENTO CULTURA,1000,,721.05,1721.05,721.05
,,,,3321,22001,,FONDO BIBLIOGRAFICO,4000,,323.06,4323.06,5984.99
,,,,3321,22609,,ACTIV. FOMENTO DE  LECTURA Y TALLERES PARA NIÑOS,1500,,0,1500,0
,,,,3321,22699,,GTOS. FUNCIONAMIENTO BIBLIOTECA,1000,,0,1000,0
,,,,3321,22799,,TALLERES BIBLIOTECA Y ARCHIVO,500,,0,500,420
,,,,3321,48000,,BECAS SALAS DE ESTUDIO,3000,,0,3000,249
,,,,3322,21600,,"MANTENIM. PROGRAMA ""ARCHIVO 3000""",1000,,0,1000,0
,,,,3322,22002,,MATERIAL DIDACTICO ACTIVIDADES ARCHIVO,500,,0,500,36.75
,,,,333,22601,,ATENCIONES PROTOCOLARIAS DEL MUSEO ARQUEOLOGICO,450,,0,450,0
,,,,333,22606,,ESTUDIOS MUSEO ARQUEOLOGICO,2000,,0,2000,0
,,,,333,22609,,ACTIVIDADES MUSEO ARQUEOLOGICO LOS BAÑOS,1500,,300,1800,300
,,,,333,22699,,GTOS. DIVERSOS MUSEO ARQUEOLOGICO LOS BAÑOS,2000,,0,2000,34.99
,,,,333,63210,,EQUIPACION E ILUMINACION NUEVA CASA CULTURA,0,,14379.64,14379.64,0
,,,,334,22400,,SEGUROS EXPOSICIONES CULTURA,600,,0,600,281.19
,,,,334,22601,,GASTOS PROTOCOLO CULTURA,2000,,1822.86,3822.86,1909.01
,,,,334,22608,,TALLERES CULTURA,2000,,0,2000,450
,,,,334,22609,,TEATRO,23000,,1815,24815,11792
,,,,334,22610,,MUSICA,10000,,0,10000,632.5
,,,,334,22612,,"GASTOS EXPOSICIONES, CONCURSOS Y CERTAMENES CULTUR",2500,,150,2650,1263.9
,,,,334,22613,,JURADOS CERTAMENES CULTURA,3500,,0,3500,0
,,,,334,22614,,SEMANA FLAMENCA,6000,,0,6000,19077
,,,,334,22799,,RAIDER TECNICO CINE VELASCO Y OTRAS SONORIZACIONES,36940,,0,36940,14096.5
,,,,334,24000,,GASTOS EDICION CULTURA,10638.5,,459.8,11098.3,459.8
,,,,334,24001,,"CARTELERIA, EDICIONESY DISEÑOS EXPOSICIONES Y OTR.",3000,,1228.15,4228.15,3825.73
,,,,334,48000,,CONVENIO JUNTA DE COFRADIAS,28315,,0,28315,28315
,,,,334,48001,,CONVENIO ARCCHICOFRADIA NUESTRO PADRE JESUS,5000,,0,5000,0
,,,,334,48002,,CONVENIO ESCUELA DE MÚSICA,125000,,0,125000,125000
,,,,334,48004,,CONVENIO CORAL AUDITE OMNES ALHAMA,0,,4000,4000,4000
,,,,334,48006,,"PREMIOS CERTAMENES A.M.M, P.R. Y TEATRO AMATEUR",4000,,0,4000,990
,,,,334,48007,,CONVENIO GRUPO FOLKLORICO VILLA DE ALHAMA,4500,,0,4500,4500
,,,,334,48008,,GRUPO FOLKRÓRICO VIRGEN DEL ROSARIO,4500,,0,4500,4500
,,,,334,48009,,CONVENIO PATRONA VIRGEN DEL ROSARIO,900,,0,900,0
,,,,334,78001,,CONVENIO CORAL AUDITE OMNES ALHAMA,4000,,-4000,0,0
,,,,336,13101,,Retribb. Profesores T.E. Recuperación Patrimonio,0,,0,0,1236.2
,,,,336,13103,,Retrib. Restauracion Yacimientos Paleras y Murtal 21/22,0,,0,0,60695.24
,,,,336,13104,,RETRIBUCIONES T.E. RECUPERACION PATRIMONIO,0,,19125.23,19125.23,0
,,,,336,16003,,SEG. SOCIAL T.E. RECUPERACION PATRIMONIO,0,,5855.48,5855.48,0
,,,,336,16005,,SEG. SOC. yACIMIENTOS PALERAS Y MURTAL 21-22,0,,0,0,11869.26
,,,,336,20400,,ALQUILER VEHICULO RECUPERAC. PATRIMONIO T.E.,0,,719.83,719.83,828.18
,,,,336,21000,,MAT. RESTAURAC. YACIMIENTOS PALERAS Y MURTAL,5000,,0,5000,0
,,,,336,21001,,MATERIALES T.E. RECUPERACION PATRIMONIO,0,,3927.04,3927.04,6126.57
,,,,336,22104,,VESTUARIO T.E. RECUPERACION PATRIMONIO,0,,0,0,630
,,,,336,22400,,SEGURO PARTICIPANTES EN CAMPO DE TRABAJO EL CASTIL,300,,0,300,0
,,,,336,22609,,GASTOS DIVERSOS PROTECC. PATRIMONIO HISTORICO,0,,0,0,580.8
,,,,336,22697,,MATERIALES EXCAVAC. ARQUEOLOGICAS EL MURTAL Y PALERAS,0,,5500,5500,4562.45
,,,,336,22698,,"GASTOS CAMPO TRABAJO ""CERRO DEL CASTILLO""",6000,,293.04,6293.04,2685.73
,,,,336,22699,,MANTENIMIENTO YACIMIENTOS HISTORICOS,1500,,0,1500,0
,,,,336,61900,,RESTAURACION CASTILLO ALHAMA,0,,1199217.6,1199217.6,202199.31
,,,,337,12003,,RETRIB. BASICAS JUVENTUD-C1,15484.18,,0,15484.18,12215.36
,,,,337,12004,,RETRIB. BASICAS JUVENTUD-C2,10758.1,,0,10758.1,8672.73
,,,,337,12100,,COMPLEMENTO DESTINO JUVENTUD,14145.88,,0,14145.88,9821.41
,,,,337,12101,,COMPLEMENTO ESPECIFICO JUVENTUD,18060.14,,0,18060.14,11460.96
,,,,337,14300,,RETRIBUCIONES FUNC. INTERINO JUVENTUD 1,21298.07,,0,21298.07,16681.42
,,,,337,14301,,RETRIBUCIONES FUNC. INTERINO JUVENTUD 2,22131.17,,0,22131.17,15902
,,,,337,15000,,PRODUCTIVIDAD FUNCIONARIOS JUVENTUD,2191.81,,0,2191.81,3930.36
,,,,337,15003,,PRODUCTIVIDAD FUNC. INTERINOS JUVENTUD,1628.6,,0,1628.6,0
,,,,337,15100,,GRATIFICACIONES PERSONAL JUVENTUD,0,,0,0,10580.94
,,,,337,16000,,SEGURIDAD SOCIAL FUNCIONARIOS JUVENTUD,16371.61,,0,16371.61,15341.39
,,,,337,16003,,SEGUR. SOCIAL FUNC. INTERINO JUVENTUD 1,6645,,0,6645,5773.55
,,,,337,16004,,SEGUR. SOCIAL FUNC. INTERINO JUVENTUD 2,6904.92,,0,6904.92,5444.06
,,,,337,20200,,ALQUILER ESPACIO JOVEN EN CIRCULO INSTR. DEL OBRER,5082,,1428,6510,5082
,,,,337,21200,,MANTENIMIENTO EDIFICIOS JUVENTUD,0,,114.95,114.95,114.95
,,,,337,22000,,MATERIAL DIDACTICO JUVENTUD,1000,,0,1000,0
,,,,337,22101,,MATERIALES Y JUEGOS LUDOTECA,500,,0,500,0
,,,,337,22105,,PRODUCTOS ALIMENTICIOS ACTIVIDADES JUVENTUD,0,,0,0,249.94
,,,,337,22199,,GTOS. FUNCIONAMIENTO JUVENTUD,400,,0,400,1688.23
,,,,337,22300,,TRANSPORTE PARA ACTIVIDADES JUVENILES,1000,,125,1125,125
,,,,337,22606,,CURSOS CONCEJALIA JUVENTUD,2000,,0,2000,0
,,,,337,22609,,ACTIVIDADES Y PROGRAMAS JUVENILES,14000,,-9947.84,4052.16,22379.64
,,,,337,22699,,CONCIERTO PROMOC. GRUPOS MUSIC. PsPs Nº 6,14000,,-9000,5000,0
,,,,337,22700,,LIMPIEZA EDIFICIOS JUVENTUD,46589.9,,0,46589.9,16511.22
,,,,337,22701,,SERVICIOS SEGURIDAD ACTIVIDADES JUVENTUD,0,,0,0,968
,,,,337,22709,,"CTO. LUDOTECA ""LA COMETA ALEGRE""",0,,-9900,-9900,0
,,,,337,22790,,SONORIZ. E ILUMINACIONES ACT. JUVENILES,10178,,0,10178,8167.5
,,,,337,22796,,"PLAN CORRESPONSABLES 2022- ACTIVIDADES Y MONITOR CENTRO JUV. ""LA GUARIDA""",0,,0,0,0
,,,,337,22797,,PLAN CORRESPONSABLES 2022- ACTIV. JUVENILES EN VACACIONES,0,,0,0,0
,,,,337,22798,,"MONITOR ESPACIO JOVEN ""LA GUARIDA""",15000,,1143.45,16143.45,10291.05
,,,,337,22799,,CAMPAMENTOS VERANO,5000,,-3000,2000,0
,,,,337,62300,,EQUIPAMIENTO PARA ACTIVIDADES DE JUVENTUD,1,,0,1,0
,,,,338,20900,,SGAE FESTEJOS,0,,0,0,2398.98
,,,,338,22000,,MATERIAL OFICINA Y OTROS GTOS. FESTEJOS,1250,,0,1250,590.7
,,,,338,22105,,PRODUCTOS ALIMENTICIOS PARA  FESTEJOS,13500,,315.4,13815.4,10074.64
,,,,338,22199,,SUMINISTROS VARIOS ACTIV. FESTEJOS,4500,,37.95,4537.95,6062.75
,,,,338,22300,,DESPLAZAMIENTO AUTOBUS ACTIVIDADES FESTEJOS,200,,0,200,0
,,,,338,22400,,SEGUROS POR SUSPENSION CONCIERTOS,3000,,0,3000,1181.73
,,,,338,22601,,PREGON FERIA Y CORREMAYO MAYOR,550,,0,550,0
,,,,338,22609,,"ESPECTACULOS, FESTIVALES, CONCIERTOS Y OTROS",99000,,25096.99,124096.99,58167.99
,,,,338,22697,,ACTIVIDADES FESTIVAS EN EL CAÑARICO,0,,0,0,1149.5
,,,,338,22698,,OTRAS ACTIVIDADES FESTEJOS,20000,,242.61,20242.61,26206.85
,,,,338,22699,,TROFEOS Y OBSEQUIOS FESTEJOS,4000,,556.5,4556.5,4700.85
,,,,338,22701,,SERVICIOS SEGURIDAD EN FESTEJOS,22100,,0,22100,8190.87
,,,,338,22797,,PIROTECNIA FESTEJOS,6200,,0,6200,1424.17
,,,,338,22798,,"INFRAESTR., ESCENARIOS, CARPAS,,,, FESTEJOS",45000,,34511.66,79511.66,16294.06
,,,,338,22799,,SONORIZACION E ILUMIN. EVENTOS FESTEJOS,43000,,0,43000,34606
,,,,338,24000,,"EDICIONES, DISEÑOS, CARTELERIA FESTEJOS",14400,,961.95,15361.95,3612.9
,,,,338,48000,,PREMIOS Y CONCURSOS FESTEJOS,18000,,0,18000,7583.1
,,,,338,48001,,SUBVENCIONES  A ASOCIACIONES DE BARRIOS,6000,,0,6000,0
,,,,338,48002,,SUBVENCION FIESTAS LAS CAÑADAS,3500,,0,3500,3500
,,,,338,48003,,SUBVENCION FIESTAS EL CAÑARICO,3500,,-3000,500,0
,,,,338,48004,,SUBVENCION FIESTAS LA COSTERA,3500,,0,3500,3500
,,,,338,48005,,SUBVENCION FIESTAS GEBAS,3500,,0,3500,3500
,,,,338,48006,,SUBVENCION FIESTAS EL BERRO,3500,,0,3500,3500
,,,,338,62410,,ADQUISIC. PLATAFORMAS PARA CARROZAS,0,,18150,18150,0
,,,,340,12001,,RETRIB. BASICAS DEPORTES-A2,14415.02,,-4100,10315.02,11511.37
,,,,340,12004,,RETRIB. BASICAS DEPORTES-C2,9358,,-9000,358,0
,,,,340,12005,,RETRIBUCIONES BASICAS DEPORTES - E,11985.7,,-8000,3985.7,0
,,,,340,12100,,COMPLEMENTO DESTINO DEPORTES,18345.18,,-4300,14045.18,5545.8
,,,,340,12101,,COMPLEMENTO ESPECIFICO DEPORTES,27328.14,,-22000,5328.14,5372.82
,,,,340,14300,,OTRO PERSONAL FUNCIONARIO INTERINO,0,,0,0,15047.8
